Feature,Claude Agent SDK,Claude CLI,GLM (Zhipu),OpenAI Agents SDK
Agent loop,Yes (t01: query() returned results),Yes (t01: claude -p returned results),Yes (proxy: query() via z.ai proxy returned results),Yes (t01: Runner.run() returned response)
Custom tools,Yes (t02b: safe_write MCP tool used 3 times),Yes (flag: --mcp-config enables custom MCP tools),Yes (proxy: Claude @tool + MCP via z.ai),Yes (t01: @function_tool called 2 times)
Web search,Yes (t01: WebSearch in tool list),Yes (t01: WebSearch in tool list),Yes (proxy: WebSearch found via z.ai proxy),Yes (t01: WebSearchTool returned results)
File tools,Yes (t01: Read/Write/Glob/Grep in tool list),Yes (t01: Read/Write/Glob/Grep in tool list),Yes (proxy: Read/Write/Glob/Grep via proxy),Yes (import: FileSearchTool importable)
Code execution,Yes (t01: Bash in tool list),Yes (t01: Bash in tool list),Yes (proxy: Bash found via z.ai proxy),Yes (import: CodeInterpreterTool importable)
Structured output,Yes (t05: output_format produced structured JSON),Yes (t05: --json-schema produced output),Yes (proxy: Claude output_format via z.ai),Yes (t01: output_type returned Pydantic model)
Multi-agent,Yes (t03: Agent tool used in manual mode),Yes (t03: Agent tool used in manual mode),Yes (proxy: Agent found via z.ai proxy),Yes (t02: handoff to math-expert)
Guardrails,Yes (t05: disallowed_tools enforced),Yes (t05: tool restriction worked),Yes (proxy: Claude hooks via z.ai proxy),Yes (t02: InputGuardrail blocked harmful input)
Hooks / lifecycle,Yes (import: PreToolUseHookInput + StopHookInput importable with fields),Yes (file: settings.json exists (hooks configurable)),Yes (proxy: Claude PreToolUse/Stop via z.ai),"Yes (t03: RunHooks: 6 events, AgentHooks: 2 events)"
Tracing dashboard,N/A (known: not in SDK),N/A (known: not available),N/A (known: not available),Yes (t03: set_tracing_disabled available)
Permission system,Yes (t05: disallowed_tools blocked Write/Edit),Yes (t05: --tools restriction enforced),Yes (proxy: Claude PermissionMode via z.ai),N/A (known: not in SDK)
Plan mode,No (t04: tools were not blocked in plan mode),Yes (t04: --permission-mode plan worked),Yes (proxy: Claude plan mode via z.ai),N/A (known: not in SDK)
TodoWrite / tasks,Yes (t02: TodoWrite tool used),Yes (t02: TodoWrite tool used),Yes (proxy: TodoWrite found via z.ai proxy),N/A (known: not in SDK)
MCP support,"Yes (t02b: create_sdk_mcp_server worked, tool called 3 times)",Yes (flag: --mcp-config in --help),Yes (proxy: Claude MCP via z.ai),No (import: MCPServer not found)
Streaming,Yes (t01: async iteration worked),Yes (t01: stream-json output parsed),Yes (proxy: async iteration via proxy worked),Yes (live: run_streamed produced 12 events)
Session resume,Yes (live: list_sessions returned 357 sessions),Yes (flag: --resume in --help),Yes (proxy: Claude session resume via z.ai),Yes (live: previous_response_id=resp_0cff736de833fdf... accepted)
Shell,Yes (t01: Bash in tool list),Yes (t01: Bash in tool list),Yes (proxy: Bash found via z.ai proxy),Yes (import: ShellTool importable)
File read,Yes (t01: Read in tool list),Yes (t01: Read in tool list),Yes (proxy: Read found via z.ai proxy),N/A (known: DIY via @function_tool)
File write,Yes (t01: Write in tool list),Yes (t01: Write in tool list),Yes (proxy: Write found via z.ai proxy),N/A (known: DIY via @function_tool)
File edit,Yes (t01: Edit in tool list),Yes (t01: Edit in tool list),Yes (proxy: Edit found via z.ai proxy),Yes (import: ApplyPatchTool importable)
Image generation,N/A (known: not available in Claude),N/A (known: not available in Claude),N/A (known: not available),Yes (import: ImageGenerationTool importable)
Tool search,Yes (t01: ToolSearch in tool list),Yes (t01: ToolSearch in tool list),Yes (proxy: ToolSearch found via z.ai proxy),N/A (known: not in SDK)
Agent nesting,No (t03: 1 level only),No (t03: 1 level only),No (known: 1 level only),Yes (t02: handoff chains supported)
Context management,Yes (known: built-in (no public compaction types)),Yes (flag: auto compaction built-in),Yes (proxy: Claude auto compaction via z.ai),N/A (known: manual)
Auto memory,"N/A (known: CLI-only feature, not in SDK)",Yes (file: ~/.claude/projects/**/memory/ has 15 files),N/A (known: not available via z.ai),N/A (known: not in SDK)
Skills (on-demand),Yes (import: settingSources param in ClaudeAgentOptions),Yes (flag: slash commands in CLI),N/A (known: not available via z.ai),N/A (known: not in SDK)
CLAUDE.md / rules,Yes (import: settingSources param in ClaudeAgentOptions),Yes (flag: CLAUDE.md auto-loaded by CLI),N/A (known: not available via z.ai),N/A (known: not in SDK)
